"time","error_m1","error_m2","error_m3","error_m4","external_err"
21,116.027899895343,1.64807340330471,110.416320775472,1.71737883014647,0.15
22,121.850483163565,1.73762350004905,114.808417419365,1.79117253957054,0.15
23,126.242718023173,1.80370854601254,117.248599921359,1.81093095176425,0.15
24,127.421237234459,1.81939163234632,116.732153460468,1.79030457141712,0.15
25,126.208382418255,1.79814957573591,114.074873210719,1.76376488379487,0.15
26,124.637445493527,1.77154043158442,113.824458255164,1.73730352175303,0.15
27,123.063013784464,1.74502058611842,111.606484894554,1.71104215971118,0.15
28,121.492475741575,1.71870074065242,109.633759817227,1.68498079766934,0.15
29,119.925988417355,1.69258089518642,109.182172441644,1.65911943562749,0.15
30,118.363708459232,1.66666104972041,107.08940131079,1.63345807358565,0.15
1,3.22921438971886,0.0392350416466854,1.95447407150347,0.0696959367715094,0.2
2,6.04315997592985,0.0740317313642734,4.22056345074999,0.108081814152793,0.2
3,9.20648267661638,0.114193758058554,7.34520733202755,0.154848404589093,0.2
4,13.0100365843522,0.163366183740758,10.8995988318201,0.204085871681235,0.2
5,16.9652014214079,0.214983822079125,15.2035513568222,0.266120946500991,0.2
6,21.885051088542,0.279300939352673,19.9540992360538,0.349250235990962,0.2
7,28.3799311557221,0.364094130987886,25.5388118628267,0.421629394393096,0.2
8,33.9502480779019,0.436807732776988,31.3850035506097,0.501590250693182,0.2
9,40.0112564967043,0.516384263597561,35.0357014349275,0.579401540447477,0.2
10,45.8204036853735,0.593604309055583,41.4750454183665,0.663251825654071,0.2
11,51.9860096278045,0.677140398910726,48.621063483807,0.760814356682449,0.2
12,59.0399427978633,0.775217826027506,55.8219054119301,0.858681441661585,0.2
13,65.9960791794664,0.874702624794995,62.2369730372168,0.945750970734625,0.2
14,72.0788581593778,0.964194474031475,65.7782714873857,1.02848810964356,0.2
15,77.7672725489454,1.04989933291889,71.4109064711362,1.11191863331915,0.2
16,83.4137163845434,1.13660743420947,77.8189016313704,1.20784148374443,0.2
17,89.7888248398624,1.23599469491145,83.5247655080995,1.323935259167,0.2
18,97.3556197845187,1.35503577099182,91.8895480086489,1.44243531834848,0.2
19,104.924772893615,1.47448569785025,98.6545697798705,1.5505713698548,0.2
20,111.67312303938,1.58056278039146,105.872945435549,1.6639745612098,0.2
21,118.615287489457,1.68868478158622,112.680135120137,1.75255528834885,0.2
22,123.944869685868,1.7702565149966,116.065459020459,1.8104932227183,0.2
23,127.38500634586,1.82138946316735,117.485039565991,1.81438277145948,0.2
24,127.62558900593,1.82253681018696,116.712485366908,1.79042624583672,0.2
25,126.215613426905,1.79826027705042,114.058055919561,1.76376488379487,0.2
26,124.637445493527,1.77154043158442,113.821029792928,1.73730352175303,0.2
27,123.063013784464,1.74502058611842,111.573419650254,1.71104215971118,0.2
28,121.492475741575,1.71870074065242,109.636674670568,1.68498079766934,0.2
29,119.925988417355,1.69258089518642,109.17221499622,1.65911943562749,0.2
30,118.363708459232,1.66666104972041,107.083151021824,1.63345807358565,0.2
1,5.03618768287554,0.0614539759240614,3.26487144263828,0.0945385547985912,0.25
2,8.09547948473562,0.0999176612703349,5.9547077667805,0.136304264882511,0.25
3,11.5079219670755,0.143766548894569,9.19040798568367,0.186784893773933,0.25
4,15.5812019639122,0.196790173812317,13.5014931993083,0.249964568123622,0.25
5,20.611346831759,0.262592358743209,19.1864068655438,0.328056225307685,0.25
6,26.7372137178973,0.342694022534161,24.0586175939371,0.407134193150981,0.25
7,32.844768342102,0.422492362227449,30.1188553757358,0.485779810613995,0.25
8,38.8255215583626,0.500908636796961,35.1163217633916,0.563157912195827,0.25
9,44.6235997570206,0.577670295420904,39.5533835971263,0.644448019872674,0.25
10,50.62399223932,0.65844642958514,46.4024705667741,0.739268037728912,0.25
11,57.5071002505355,0.75339829338998,53.9306816268242,0.841589980046295,0.25
12,64.8020805273392,0.857030303181163,60.4485247498285,0.93127446847211,0.25
13,71.0840237538608,0.948933374873809,66.6608268280869,1.0143163292386,0.25
14,76.8087722462771,1.03479320123449,70.093248723622,1.09734455136229,0.25
15,82.4456195970417,1.12106242674819,76.0752623973374,1.1863909070939,0.25
16,88.3887827143312,1.21355365684717,83.1586547219992,1.29826327459232,0.25
17,95.7158084819103,1.32886052903158,89.5786161396865,1.42353995566295,0.25
18,103.74181375358,1.45594447163816,97.2480238280947,1.52930897740013,0.25
19,110.378007364927,1.56081333313445,104.629188024309,1.6490351405039,0.25
20,117.715642297921,1.67594087533968,110.910381622265,1.74526905336928,0.25
21,123.518439127561,1.76560704376861,116.952101267636,1.81921867730092,0.25
22,127.894771505417,1.83176668560981,117.928001146436,1.83882631258499,0.25
23,129.05759744304,1.84727360731277,117.675368864665,1.81723284075348,0.25
24,127.794121677544,1.82513029371454,116.691762946503,1.79042624583672,0.25
25,126.215613426905,1.79826027705042,114.079367229754,1.76376488379487,0.25
26,124.637445493527,1.77154043158442,113.812874050822,1.73730352175303,0.25
27,123.063013784464,1.74502058611842,111.536981538275,1.71104215971118,0.25
28,121.492475741575,1.71870074065242,109.638302651903,1.68498079766934,0.25
29,119.925988417355,1.69258089518642,109.207357592366,1.65911943562749,0.25
30,118.363708459232,1.66666104972041,107.073250524316,1.63345807358565,0.25
1,7.23548876165182,0.0889537759069187,5.02317312178825,0.126796931062652,0.3
