"time","error_m1","error_m2","error_m3","error_m4","external_err"
1,1.34873473090936,0.148850183966092,0.984956668564195,0.221240307556969,0.15
2,2.0765085385367,0.229138093870717,1.78348506607131,0.294367698273976,0.15
3,2.72869045586187,0.302957057810869,2.38649801965143,0.357002537007025,0.15
4,3.28443949229941,0.366930277141428,2.97744369511015,0.419408644856485,0.15
5,3.83496663872923,0.430776838609273,3.63426078522017,0.486318663836379,0.15
6,4.42100900434016,0.498752936996137,4.18603817656269,0.559218024237937,0.15
7,5.05386720317234,0.571860878791759,4.83110171250005,0.625678026024801,0.15
8,5.62513465398031,0.637629983046801,5.4028618155119,0.684591535369376,0.15
9,6.1262446815332,0.695405823842022,5.72777181865469,0.739402113036716,0.15
10,6.58770258400795,0.749032933381611,6.25642806522209,0.791925553115871,0.15
11,7.02521459661027,0.800616902530508,6.77527284560214,0.84870093553715,0.15
12,7.49257536759551,0.856895317718703,7.30970008213257,0.906309847609532,0.15
13,7.96074743272394,0.914688947077446,7.74301516210624,0.954194555596035,0.15
14,8.34495154554865,0.963291911173187,7.96988500863278,0.996435636500867,0.15
15,8.67991377256525,1.00653661542871,8.31371276027647,1.0368723048054,0.15
16,8.99696558184373,1.04811506950109,8.67072675543745,1.07851088195196,0.15
17,9.31934806879165,1.09088878985603,8.97207499175421,1.12848732809611,0.15
18,9.70091520033722,1.14181508664276,9.4376464563441,1.1818871771564,0.15
19,10.1020535228428,1.19538765294286,9.7824515446174,1.22573713469275,0.15
20,10.42634222002,1.238424522121,10.1579291671711,1.27290589466705,0.15
21,10.7690788369285,1.28340148305901,10.5062602727006,1.31027903567683,0.15
22,11.0373328731548,1.31800971907595,10.7134659994354,1.33819208007571,0.15
23,11.2348630473215,1.34289364104736,10.8279318840449,1.34568510155374,0.15
24,11.2879639893031,1.34882913459309,10.8040326501956,1.33802219819993,0.15
25,11.2342478186816,1.34095063832714,10.6805333448454,1.32806810209224,0.15
26,11.1641141831104,1.33099227330004,10.6688440445577,1.31806810209223,0.15
27,11.0933770234525,1.32099227330004,10.5639500944052,1.30806810209223,0.15
28,11.0223625299468,1.31099227330004,10.470604766608,1.29806810209223,0.15
29,10.9510724779519,1.30099227330004,10.4489742659055,1.28806810209223,0.15
30,10.8795086497154,1.29099227330004,10.3482813614234,1.27806810209223,0.15
1,1.79700149964291,0.198078372485957,1.39742154634346,0.263985183675636,0.2
2,2.4581586452756,0.27207317124116,2.05290343154396,0.328682058797088,0.2
3,3.03357195613819,0.337848935072644,2.70932636010253,0.393450103041742,0.2
4,3.60645390799648,0.404127360377003,3.30004053916124,0.451614359070018,0.2
5,4.11767243059636,0.463519101485317,3.89463237470369,0.515536210339759,0.2
6,4.67538041736661,0.528162349320444,4.46223365059702,0.59059384720634,0.2
7,5.32416917596681,0.603036476212776,5.05083352253494,0.649056708310043,0.2
8,5.82448202830667,0.660654626247801,5.59844346550276,0.707871737891555,0.2
9,6.32260212996625,0.718258305296876,5.91409406407571,0.760713438798512,0.2
10,6.7654053276576,0.770006303709579,6.43547855391115,0.813843814604921,0.2
11,7.20585630414174,0.822341132567284,6.96738657771641,0.871620962211508,0.2
12,7.67905452495262,0.879842179086118,7.46759706751338,0.926157520982838,0.2
13,8.12017585054333,0.934755275047763,7.88561018031113,0.972081403906465,0.2
14,8.48693054758325,0.981506616285175,8.10686176280213,1.01376366283068,0.2
15,8.81588613880445,1.02425233570822,8.44763782617218,1.05410015695872,0.2
16,9.13051342010474,1.06572991791208,8.81760557428319,1.0985119274435,0.2
17,9.47227158060734,1.11123545457199,9.13486880197454,1.15003512899169,0.2
18,9.86302033560231,1.16347331160563,9.58227000360178,1.20053462324173,0.2
19,10.2401998385251,1.21382140352858,9.92840533213417,1.24470236995173,0.2
20,10.5643361461619,1.25672916382409,10.2862220895875,1.28952337470276,0.2
21,10.8884434960231,1.29911317374867,10.6130698622666,1.3235928312966,0.2
22,11.13157699032,1.33029996491391,10.7722623558028,1.34542763023524,0.2
23,11.2858000826954,1.34949095250465,10.8389594185246,1.34698013595282,0.2
24,11.2970897283392,1.35000531522522,10.8031207106177,1.33806810209223,0.2
25,11.2345722404952,1.34099227330004,10.6797519513572,1.32806810209224,0.2
26,11.1641141831104,1.33099227330004,10.6686819483065,1.31806810209223,0.2
27,11.0933770234525,1.32099227330004,10.5623861985947,1.30806810209223,0.2
28,11.0223625299468,1.31099227330004,10.4707426543058,1.29806810209223,0.2
29,10.9510724779519,1.30099227330004,10.4484950086077,1.28806810209223,0.2
30,10.8795086497154,1.29099227330004,10.3479805377133,1.27806810209223,0.2
1,2.2441452009341,0.247899124492325,1.80666316420095,0.307468611953985,0.25
2,2.84523334406468,0.316094920951891,2.44014095928381,0.369187744061427,0.25
3,3.39227907311685,0.379159174504333,3.0309832597262,0.432147004705832,0.25
4,3.94697176730222,0.443570784671883,3.67355501993937,0.499813862739265,0.25
5,4.53871142907604,0.512287869764963,4.37864931710809,0.572625744328699,0.25
6,5.16968054970365,0.585268375177993,4.90350204373624,0.638021250096409,0.25
7,5.7306340012468,0.649946886317182,5.48714943700359,0.696905446252575,0.25
8,6.23042506679741,0.707679125401386,5.9243087944622,0.750358962628349,0.25
